Udara, Ketinggian, Pesawat, Terbang = aviator
Suara, Nada, Harmoni, Irama = musisi
Arsip, Dokumen, Berkas, Catatan = arsiparis
Ikan, Laut, Terumbu, Nelayan = nelayan
Tanah, Mineral, Batuan, Fosil = geologi
Peta, Koordinat, Lokasi, Arah = kartografi
Sensor, Kontrol, Sistem, Mesin = mekatronika
Bisnis, Modal, Profit, Manajemen = entrepreneur
Hutan, Pohon, Flora, Fauna = kehutanan
Logam, Tambang, Mineral, Bijih = metalurgi
Mata, Lensa, Retina, Optik = oftalmologi
Radio, Siaran, Frekuensi, Audio = penyiar
Gizi, Makanan, Diet, Nutrisi = ahli gizi
Psikologi, Mental, Perilaku, Emosi = psikolog
Keuangan, Modal, Investasi, Aset = finansial
Gunung, Vulkanik, Magma, Lava = vulkanologi
Ruang, Dimensi, Geometri, Sudut = geometri
Sejarah, Artefak, Fosil, Situs = arkeologi
Logika, Analisis, Sistem, Metode = filosofi
Hormon, Kelenjar, Metabolisme, Tubuh = endokrinologi
Gerak, Gaya, Energi, Massa = fisika
Optik, Cahaya, Lensa, Spektrum = optika
Kimia, Reaksi, Molekul, Senyawa = kimiawan
Hewan, Spesies, Habitat, Evolusi = zoologi
Kosmos, Orbit, Satelit, Roket = kosmonot
Olahraga, Latihan, Fisik, Stamina = atlet
Bahasa, Tata, Kalimat, Kata = linguis
Sel, Jaringan, Organ, Sistem = histologi
Suhu, Tekanan, Volume, Gas = termodinamika
Sinyal, Transmisi, Data, Komunikasi = telekomuni
Protein, Karbohidrat, Lemak, Enzim = biokimia
Statistik, Data, Analisis, Probabilitas = statistika
Politik, Negara, Diplomasi, Kebijakan = diplomat
Keamanan, Sistem, Jaringan, Data = sekuriti
Sosial, Budaya, Masyarakat, Adat = sosiologi
Tanaman, Kultur, Sel, Jaringan = botanis
Gambar, Grafik, Layout, Desain = desainer
Bintang, Galaxy, Nebula, Komet = astronom
Pasar, Konsumen, Produk, Brand = marketer
Industri, Produksi, Proses, Kontrol = industrial
Suara, Akustik, Getaran, Frekuensi = akustika
Mikroskop, Sel, Bakteri, Virus = mikrobiologi
